NO,共通ID,施設・場所名,住所,指定緊急避難場所との住所同一,その他市町村長が必要と認める事項,受入対象者,緯度,経度,備考
1,E0320900004111,永井市民センター,岩手県一関市花泉町永井字粒乱田69-1,1,,,38.780565008677,141.22742998758,
2,E0320900010111,花泉市民センター,岩手県一関市花泉町花泉字天王沢沖109-1,1,,,38.845781527209,141.1611543961,
3,E0320900020111,油島市民センター,岩手県一関市花泉町油島字上築道34-1,1,,,38.811788878516,141.17590029469,
4,E0320900024111,花泉中学校,岩手県一関市花泉町涌津字古川8,1,,,38.830224083048,141.18798651037,
5,E0320900033111,老松市民センター,岩手県一関市花泉町老松字藤田274-2,1,,,38.828626387985,141.20269480967,
6,E0320900036111,旧本寺中学校,岩手県一関市厳美町字岡山16-4,1,,,38.9722780597316,140.938224813789,
7,E0320900041111,厳美中学校,岩手県一関市厳美町字上ノ台45-1,1,,,38.942990026043,141.04150660198,
8,E0320900045111,一関市総合体育館,岩手県一関市狐禅寺字石ノ瀬25-3,1,,,38.94085377,141.1557042,
9,E0320900047111,山目小学校,岩手県一関市幸町2-47,1,,,38.92978273816,141.12258577677,
10,E0320900048111,サン・アビリティーズ一関,岩手県一関市三関字桜町36-3,1,,,38.929329875199,141.1517333113,
11,E0320900050111,磐井中学校,岩手県一関市山目字館46-1,1,,,38.93903780138,141.12346299997,
12,E0320900055111,室根体育館,岩手県一関市室根町折壁字向山85,1,,,38.934460303606,141.44627726625,
13,E0320900060111,曲ろくふれあいセンター,岩手県一関市室根町折壁字八幡沖345,1,,,38.936182310235,141.44467747365,
14,E0320900061111,室根市民センター津谷川体育館,岩手県一関市室根町津谷川字上川原19-1,1,,,38.848974754896,141.42636920121,
15,E0320900063111,室根中学校,岩手県一関市室根町矢越字五反田41-2,1,,,38.934699637304,141.43441038676,
16,E0320900070111,一関中学校,岩手県一関市真柴字中田18,1,,,38.912229380775,141.13497075917,
17,E0320900073111,赤荻小学校,岩手県一関市赤荻字桜町181-1,1,,,38.93849829,141.0939176,
18,E0320900088111,小梨市民センター,岩手県一関市千厩町小梨字堂ヶ崎30-5,1,,,38.902148395697,141.38153631818,
19,E0320900094111,千厩市民センター,岩手県一関市千厩町千厩字舘山50,1,,,38.917390624606,141.33788346999,
20,E0320900105111,磐清水体育館,岩手県一関市千厩町磐清水字蒲沢75-3,1,,,38.94160884865,141.31869720197,
21,E0320900111111,川崎農村環境改善センター,岩手県一関市川崎町薄衣字諏訪前137,1,,,38.901678473208,141.26409991748,
22,E0320900113111,川崎小学校,岩手県一関市川崎町薄衣字泉台50,1,,,38.902089873965,141.28258024297,
23,E0320900116111,一関文化センター,岩手県一関市大手町2-16,1,,,38.9283064842929,141.133389531676,
24,E0320900124111,摺沢市民センター（大東コミュニティセンター）,岩手県一関市大東町摺沢字街道下25-3,1,,,38.99572734336,141.3220079324,
25,E0320900129111,大東勤労者体育センター,岩手県一関市大東町大原字川内35,1,,,39.018635401443,141.39702980573,
26,E0320900138111,一関東中学校,岩手県一関市滝沢字寺田下81-2,1,,,38.910550779197,141.17111487574,
27,E0320900147111,松川市民センター,岩手県一関市東山町松川字町裏ノ上8-2,1,,,38.957570058993,141.2561897932,
28,E0320900153111,東山総合体育館,岩手県一関市東山町長坂字北山谷247,1,,,38.999789078005,141.24843284475,
29,E0320900157111,田河津市民センター,岩手県一関市東山町田河津字石ノ森16-8,1,,,39.014654642586,141.23501855894,
30,E0320900175111,西口コミュニティセンター,岩手県一関市藤沢町西口字十文字119-2,1,,,38.866883,141.313024,
31,E0320900180111,藤沢スポーツプラザ,岩手県一関市藤沢町藤沢字仁郷12,1,,,38.867856811983,141.35089965401,
32,E0320900181111,藤沢文化センター,岩手県一関市藤沢町藤沢字仁郷12-5,1,,,38.86789044604,141.35259924692,
33,E0320900192111,保呂羽コミュニティ体育館,岩手県一関市藤沢町保呂羽字宇和田82-9,1,,,38.842663760753,141.37455576348,
34,E0320900195111,萩荘中学校,岩手県一関市萩荘字境ノ神240,1,,,38.921337696399,141.09270894113,
35,E0320900201111,一関運動公園,岩手県一関市萩荘字箱清水4-2,1,,,38.91859974229,141.12146136378,
36,E0320900205111,舞川小学校,岩手県一関市舞川字館ノ越20-4,1,,,38.969958181445,141.17381514249,
37,E0320900212111,弥栄小学校,岩手県一関市弥栄字大奈良33-4,1,,,38.896781463032,141.23708301344,
38,E0352400003111,一戸町立一戸中学校,岩手県一戸町一戸字砂森12,1,,,40.2051848639897,141.301038646571,
39,E0352400004111,一戸町立一戸小学校,岩手県一戸町一戸字砂森149-13,1,,,40.211183388598,141.301071284198,
40,E0352400005121,結愛舎,岩手県一戸町一戸字砂森93-2,1,,高齢者,40.208875666487,141.3064955787,
41,E0352400005111,一戸町総合保健福祉センター,岩手県一戸町一戸字砂森93-2,1,,,40.2082680870312,141.306416938564,
42,E0352400009111,奥中山高原センターハウス・管理センター,岩手県一戸町奥中山字西田子662-1,1,,,40.083415,141.191418,
43,E0352400010111,一戸町立奥中山小学校,岩手県一戸町奥中山字西田子75-4,1,,,40.0655500135283,141.225771086656,
44,E0352400013111,一戸地区センター,岩手県一戸町高善寺字大川鉢24-9,1,,,40.2121685185581,141.29559286963,
